paper_id	name	clean_name	speakers/authors	author_list	num_authors	type	title_length_chars	title_length_words	abstract_length_chars	abstract_length_words	abstract_readability	total_text_length	total_word_count	paper_keywords	topic_cluster	cluster_theme	cluster_similarity	cluster_uniqueness	avg_similarity_to_others	novelty_score	impact_score	combined_score
5000	TabDPT: An Open Tabular Foundation Model	TabDPT: An Open Tabular Foundation Model	Junwei Ma, Valentin Thomas, Rasa Hosseinzadeh, Alex Labach, Jesse Cresswell, Keyvan Golestan, Guangwei Yu, Anthony Caterini, Maks Volkovs	['Junwei Ma', 'Valentin Thomas', 'Rasa Hosseinzadeh', 'Alex Labach', 'Jesse Cresswell', 'Keyvan Golestan', 'Guangwei Yu', 'Anthony Caterini', 'Maks Volkovs']	9	Poster	40	6	1663	241	0.0	1703	247	data; training; models; real; model	14	Optimization & Training	0.6889	0.5374	0.3729	22.244248151779175	14.5	36.744248151779175
4120	Recent Advances in Time Series Foundation Models: Have We Reached the ‘BERT Moment’?	Recent Advances in Time Series Foundation Models: Have We Reached the ‘BERT Moment’?	Thomas Moreau, Romain Tavenard, Valentina Zantedeschi, Vasilii Feofanov, Ievgen Redko, Ambroise Odonnat	['Thomas Moreau', 'Romain Tavenard', 'Valentina Zantedeschi', 'Vasilii Feofanov', 'Ievgen Redko', 'Ambroise Odonnat']	6	Workshop	84	13	1405	191	0.0	1489	204	br; tsfms; foundation; foundation models; time	10	Deep Learning Architecture	0.6158	0.6236	0.3163	19.53674554824829	15.0	34.53674554824829
4203	REOBench: Benchmarking Robustness of Earth Observation Foundation Models	REOBench: Benchmarking Robustness of Earth Observation Foundation Models	Xiang Li, Yong Tao, Siyuan Zhang, Siwei Liu, Zhitong Xiong, Chunbo Luo, Lu Liu, Mykola Pechenizkiy, Xiaoxiang Zhu, Tianjin Huang	['Xiang Li', 'Yong Tao', 'Siyuan Zhang', 'Siwei Liu', 'Zhitong Xiong', 'Chunbo Luo', 'Lu Liu', 'Mykola Pechenizkiy', 'Xiaoxiang Zhu', 'Tianjin Huang']	10	Poster	72	8	1437	187	0.0	1509	195	models; tasks; real world; world; real	1	Computer Vision	0.6567	0.5546	0.3336	20.873178482055664	12.5	33.373178482055664
2158	GFM-RAG: Graph Foundation Model for Retrieval Augmented Generation	GFM-RAG: Graph Foundation Model for Retrieval Augmented Generation	LINHAO LUO, Zicheng Zhao, Reza Haffari, Dinh Phung, Chen Gong, Shirui Pan	['LINHAO LUO', 'Zicheng Zhao', 'Reza Haffari', 'Dinh Phung', 'Chen Gong', 'Shirui Pan']	6	Poster	66	8	1502	193	0.0	1568	201	rag; graph; knowledge; retrieval; datasets	6	Graph Learning	0.65	0.5753	0.3024	24.900114059448242	7.5	32.40011405944824
4588	Self-Improving Embodied Foundation Models	Self-Improving Embodied Foundation Models	Seyed Kamyar Seyed Ghasemipour, Ayzaan Wahid, Jonathan Tompson, Pannag R Sanketi, Igor Mordatch	['Seyed Kamyar Seyed Ghasemipour', 'Ayzaan Wahid', 'Jonathan Tompson', 'Pannag R Sanketi', 'Igor Mordatch']	5	Poster	41	4	1742	226	0.0	1783	230	models; learning; training; scale; significantly	7	Reinforcement Learning	0.7673	0.4776	0.365	18.93067169189453	12.5	31.43067169189453
3173	MMaDA: Unraveling The Design Space for Multimodal Large Diffusion Language Models	MMaDA: Unraveling The Design Space for Multimodal Large Diffusion Language Models	Ling Yang, Ye Tian, Bowen Li, Xinchen Zhang, Ke Shen, Yunhai Tong, Mengdi Wang	['Ling Yang', 'Ye Tian', 'Bowen Li', 'Xinchen Zhang', 'Ke Shen', 'Yunhai Tong', 'Mengdi Wang']	7	Poster	81	11	1475	170	0.0	1556	181	unified; diffusion; foundation; reasoning; training	5	Computer Vision	0.7637	0.4582	0.4194	20.44524836540222	10.0	30.44524836540222
4721	SMMILE: An expert-driven benchmark for multimodal medical in-context learning	SMMILE: An expert-driven benchmark for multimodal medical in-context learning	Melanie Rieff, Maya Varma, Ossian Rabow, Subathra Adithan, Julie Kim, Ken Chang, Hannah Lee, Nidhi Rohatgi, Christian Bluethgen, Mohamed Muneer, Jean-Benoit Delbrouck, Michael Moor	['Melanie Rieff', 'Maya Varma', 'Ossian Rabow', 'Subathra Adithan', 'Julie Kim', 'Ken Chang', 'Hannah Lee', 'Nidhi Rohatgi', 'Christian Bluethgen', 'Mohamed Muneer', 'Jean-Benoit Delbrouck', 'Michael Moor']	12	Poster	77	9	1495	221	8.61	1572	230	multimodal; context; tasks; learn; learning	5	Computer Vision	0.7517	0.4667	0.3714	29.493096351623535	0.0	29.493096351623535
348	An Investigation of Memorization Risk in Healthcare Foundation Models	An Investigation of Memorization Risk in Healthcare Foundation Models	Sana Tonekaboni, Lena Stempfle, Adibvafa Fallahpour, Walter Gerych, Marzyeh Ghassemi	['Sana Tonekaboni', 'Lena Stempfle', 'Adibvafa Fallahpour', 'Walter Gerych', 'Marzyeh Ghassemi']	5	Poster	69	9	879	116	0.0	948	125	models; approach; data; large; framework	11	Optimization & Training	0.5995	0.6053	0.2745	13.602119445800781	15.8	29.402119445800782
5234	Toward a Vision-Language Foundation Model for Medical Data: Multimodal Dataset and Benchmarks for Vietnamese PET/CT Report Generation	Toward a Vision-Language Foundation Model for Medical Data: Multimodal Dataset and Benchmarks for Vietnamese PET/CT Report Generation	Tien Nguyen, Dac Nguyen, Duc Nguyen The Minh, Trung Thanh Nguyen, Truong Thao Nguyen, Hieu Pham, Johan Barthelemy, Tran Minh Quan, Quoc Viet Hung Nguyen, Thanh Nguyen, Mai Son, Chau Anh, Thanh Nguyen, Phi Le Nguyen	['Tien Nguyen', 'Dac Nguyen', 'Duc Nguyen The Minh', 'Trung Thanh Nguyen', 'Truong Thao Nguyen', 'Hieu Pham', 'Johan Barthelemy', 'Tran Minh Quan', 'Quoc Viet Hung Nguyen', 'Thanh Nguyen', 'Mai Son', 'Chau Anh', 'Thanh Nguyen', 'Phi Le Nguyen']	14	Poster	133	17	2079	274	0.0	2212	291	vlms; dataset; languages; language; data	5	Computer Vision	0.6591	0.5326	0.3186	13.363411903381348	16.0	29.363411903381348
983	Continual Multimodal Contrastive Learning	Continual Multimodal Contrastive Learning	Xiaohao Liu, Xiaobo Xia, See-Kiong Ng, Tat-Seng Chua	['Xiaohao Liu', 'Xiaobo Xia', 'See-Kiong Ng', 'Tat-Seng Chua']	4	Poster	41	4	1453	196	0.0	1494	200	multimodal; learning; data; method; models	10	Deep Learning Architecture	0.7017	0.5708	0.3656	29.19316053390503	0.0	29.19316053390503
